system,split,parameter_name,parameter_value,default_threshold,precision,recall,f1,tp,fp,fn,tn,num_positive_edges,num_negative_edges,num_candidate_edges,graphs_evaluated,max_nodes,target_graphs,parent_temperature,weights_path,data_path
SN,normal,edge_threshold,0.88,0.6,0.88208199,0.99120083,0.93346332,5745,768,51,68685,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.89,0.6,0.8855115,0.99016563,0.93491895,5739,742,57,68711,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.9,0.6,0.89089214,0.9889579,0.93736713,5732,702,64,68751,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.91,0.6,0.89877589,0.98809524,0.9413215,5727,645,69,68808,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.92,0.6,0.90397089,0.98585231,0.94313774,5714,607,82,68846,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.93,0.6,0.91112532,0.98343685,0.9459011,5700,556,96,68897,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.94,0.6,0.92071197,0.98171153,0.9502338,5690,490,106,68963,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.95,0.6,0.92776597,0.9794686,0.95291649,5677,442,119,69011,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.96,0.6,0.93617725,0.97688061,0.95609591,5662,386,134,69067,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.97,0.6,0.94684775,0.97429262,0.96037415,5647,317,149,69136,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.98,0.6,0.95914198,0.97204969,0.9655527,5634,240,162,69213,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,normal,edge_threshold,0.99,0.6,0.97613656,0.96687371,0.97148305,5604,137,192,69316,5796,69453,75249,1000,30,1000,,./weights/sn_normal_vae_weights.pt,./datasets/anomaly/SN/SN_normal.pt
SN,abnormal,edge_threshold,0.01,0.6,0.76315072,1.0,0.86566703,8400,2607,0,57420,8400,60027,68427,1000,30,1000,,./weights/sn_abnormal_vae_weights.pt,./datasets/anomaly/SN/SN_abnormal.pt
SN,abnormal,edge_threshold,0.02,0.6,0.80598733,1.0,0.89257252,8400,2022,0,58005,8400,60027,68427,1000,30,1000,,./weights/sn_abnormal_vae_weights.pt,./datasets/anomaly/SN/SN_abnormal.pt
SN,abnormal,edge_threshold,0.03,0.6,0.8265276,1.0,0.90502613,8400,1763,0,58264,8400,60027,68427,1000,30,1000,,./weights/sn_abnormal_vae_weights.pt,./datasets/anomaly/SN/SN_abnormal.pt
SN,abnormal,edge_threshold,0.04,0.6,0.84134615,1.0,0.91383812,8400,1584,0,58443,8400,60027,68427,1000,30,1000,,./weights/sn_abnormal_vae_weights.pt,./datasets/anomaly/SN/SN_abnormal.pt
SN,abnormal,edge_threshold,0.05,0.6,0.85037457,1.0,0.91913776,8400,1478,0,58549,8400,60027,68427,1000,30,1000,,./weights/sn_abnormal_vae_weights.pt,./datasets/anomaly/SN/SN_abnormal.pt
SN,abnormal,edge_threshold,0.06,0.6,0.85863232,1.0,0.92393994,8400,1383,0,58644,8400,60027,68427,1000,30,1000,,./weights/sn_abnormal_vae_weights.pt,./datasets/anomaly/SN/SN_abnormal.pt
SN,abnormal,edge_threshold,0.07,0.6,0.86499846,1.0,0.92761305,8400,1311,0,58716,8400,60027,68427,1000,30,1000,,./weights/sn_abnormal_vae_weights.pt,./datasets/anomaly/SN/SN_abnormal.pt
